,X,Y,Z,cluster,cell
5775,-46.15769991418904,38.26192234388975,24.07540682580767,6,"Breast cancer cells (PanCK, GATA3)"
5776,-49.81935404952736,-61.469549192092984,23.897103925700257,6,"Breast cancer cells (PanCK, GATA3)"
5785,-84.16856039873369,-31.443781309182327,24.109431280884756,6,"Breast cancer cells (PanCK, GATA3)"
5786,-91.1168100182162,-18.987021934614745,24.369566883486115,6,"Breast cancer cells (PanCK, GATA3)"
6015,73.71613561803775,-36.654377840533584,23.55902152292783,6,"Breast cancer cells (PanCK, GATA3)"
6031,49.52226085730496,29.368427737809384,22.830555567226448,6,"Breast cancer cells (PanCK, GATA3)"
6033,42.09042038656287,-61.14409269370418,22.030294043852784,6,"Breast cancer cells (PanCK, GATA3)"
6034,41.27588404571077,78.59258232718128,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6035,39.92390269372936,0.990562125161091,22.00842117987466,6,"Breast cancer cells (PanCK, GATA3)"
6039,34.94671737904406,47.618971216070236,22.092512088965563,6,"Breast cancer cells (PanCK, GATA3)"
6044,26.101754692476902,-7.754349679452162,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6045,25.484217379044082,84.18563788273684,22.459178755632223,6,"Breast cancer cells (PanCK, GATA3)"
6050,19.299693569520286,4.081471216070213,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6056,11.172324175160554,-4.7340627645122595,23.810715972460713,6,"Breast cancer cells (PanCK, GATA3)"
6058,7.091975999733791,-50.07370119772287,22.60716726137936,6,"Breast cancer cells (PanCK, GATA3)"
6060,7.683291453118159,29.09998973458869,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6064,2.2038119736386648,-29.607717973118895,23.349944521398008,6,"Breast cancer cells (PanCK, GATA3)"
6066,-1.0514969066701951,74.17075693035588,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6068,-1.1407826209559175,37.50252384764917,23.088564720544518,6,"Breast cancer cells (PanCK, GATA3)"
6069,-0.7050683352416058,16.48147121607019,23.317512088965564,6,"Breast cancer cells (PanCK, GATA3)"
6077,-12.140782620955918,13.237721216070213,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6080,-19.931323161496437,-58.17528554068656,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6084,-23.773960191049355,-30.301706354023224,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6092,-35.19452093871291,42.8571721506496,22.655829845974928,6,"Breast cancer cells (PanCK, GATA3)"
6093,-34.545421796213645,-61.083477237538034,22.67008940855319,6,"Breast cancer cells (PanCK, GATA3)"
6096,-35.64971119238453,57.96539978749877,22.524654946108413,6,"Breast cancer cells (PanCK, GATA3)"
6097,-37.562211192384495,33.65289978749877,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6100,-41.56538579555911,-39.18837005377105,23.330210501663984,6,"Breast cancer cells (PanCK, GATA3)"
6101,-39.777575073786124,-71.27701934996747,22.2382668059467,6,"Breast cancer cells (PanCK, GATA3)"
6105,-47.51578262095592,-16.748885926786897,23.13179780325129,6,"Breast cancer cells (PanCK, GATA3)"
6109,-53.0574492876226,30.46608660068557,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6111,-59.81935404952736,-31.299481164882195,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6115,-71.15268738286073,-7.87090973631075,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6119,-76.22614847461443,-75.10755317417369,22.771170625550923,6,"Breast cancer cells (PanCK, GATA3)"
6124,-85.82377231167754,53.44229595833826,22.422666728140825,6,"Breast cancer cells (PanCK, GATA3)"
6140,-104.7479254780987,-58.52567164107256,22.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6280,94.8873948370777,-3.3238045633063393,22.279622400716164,6,"Breast cancer cells (PanCK, GATA3)"
6286,87.361598331425,19.414804549403584,22.003226374679855,6,"Breast cancer cells (PanCK, GATA3)"
6314,40.53539187568839,85.83986047781514,21.95106913594543,6,"Breast cancer cells (PanCK, GATA3)"
6315,40.89603908447049,-13.732482272301922,21.20433379439193,6,"Breast cancer cells (PanCK, GATA3)"
6325,24.056891797648802,12.598913076535382,20.580302786639983,6,"Breast cancer cells (PanCK, GATA3)"
6330,15.095328490155168,80.52591566051467,22.86195653341001,6,"Breast cancer cells (PanCK, GATA3)"
6339,7.4961221409488985,87.11718550178455,21.584178755632223,6,"Breast cancer cells (PanCK, GATA3)"
6344,-9.84757274441273,5.093816895082568,22.003931842051983,6,"Breast cancer cells (PanCK, GATA3)"
6346,-10.511994742168042,-11.471559086960042,21.705390876844355,6,"Breast cancer cells (PanCK, GATA3)"
6347,-11.894658589948165,41.55433943312448,21.69270588741518,6,"Breast cancer cells (PanCK, GATA3)"
6350,-16.155068335241594,33.9386140732131,21.588940660394137,6,"Breast cancer cells (PanCK, GATA3)"
6355,-27.282185335888016,22.0181227997806,20.998960052766463,6,"Breast cancer cells (PanCK, GATA3)"
6357,-28.398474928648227,30.873778908377858,21.948281319734782,6,"Breast cancer cells (PanCK, GATA3)"
6359,-35.24792547809869,-14.585195450596416,20.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6373,-70.27151656591002,-84.9093544720032,21.981732272451808,6,"Breast cancer cells (PanCK, GATA3)"
6374,-70.1511992876226,56.571054549403584,21.792512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6379,-86.52570325587658,-6.585195450596416,21.17148034293382,6,"Breast cancer cells (PanCK, GATA3)"
6698,101.11232296910617,-17.198031889519825,21.451673579648798,6,"Breast cancer cells (PanCK, GATA3)"
6706,96.0039542211494,-58.89221299445609,20.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6712,92.42002818985492,-47.92753779293878,20.863458034911503,6,"Breast cancer cells (PanCK, GATA3)"
6719,85.30486955295709,-36.26635487088629,21.758091799110495,6,"Breast cancer cells (PanCK, GATA3)"
