,X,Y,Z,cluster,cell
16573,-183.44525405471438,142.46879162028335,-20.78647224385351,9,Potentially fibroblasts (fibronectin)
16574,-182.5565021286743,77.03427698237897,-21.21790521765937,2,Potentially fibroblasts (fibronectin)
16575,-187.068370815543,99.12392344702539,-20.382046631800783,2,Potentially fibroblasts (fibronectin)
16576,-189.8907239278176,25.286299828642655,-20.03751492732144,2,Potentially fibroblasts (fibronectin)
16607,216.0924714783638,-9.30932028057316,-23.908032294883228,2,Potentially fibroblasts (fibronectin)
16613,173.68272156897638,-163.50607031077737,-22.719437393348848,4,Potentially fibroblasts (fibronectin)
16615,155.65019643591893,182.6670521019962,-23.670058327707203,4,Potentially fibroblasts (fibronectin)
16617,149.5279553493316,-111.04050307627205,-22.123086058324077,9,Potentially fibroblasts (fibronectin)
16618,140.84221946223477,-112.55663210853015,-22.104268854023005,4,Potentially fibroblasts (fibronectin)
16621,128.00301161339758,-66.69616699225111,-23.598454900534634,4,Potentially fibroblasts (fibronectin)
16623,120.60192288580163,51.86375005707498,-24.497580955933834,4,Potentially fibroblasts (fibronectin)
16624,120.63440696223472,191.2683678914699,-20.604268854023005,2,Potentially fibroblasts (fibronectin)
16627,111.9951212479491,45.83622503432696,-21.889983139737282,4,Potentially fibroblasts (fibronectin)
16628,99.1479662842687,-79.33629312547924,-23.227150209955205,4,Potentially fibroblasts (fibronectin)
16630,94.60629636315639,129.49405913570945,-23.63767899227185,4,Potentially fibroblasts (fibronectin)
16634,74.85568355797943,-151.19492998087054,-24.279800768916623,2,Potentially fibroblasts (fibronectin)
16635,70.14393077175862,143.22114566924768,-23.076491076245226,2,Potentially fibroblasts (fibronectin)
16638,62.3208015200579,-84.75391102009479,-23.684200826812123,4,Potentially fibroblasts (fibronectin)
16640,43.16079585112368,-86.75107655297461,-24.548713298467447,4,Potentially fibroblasts (fibronectin)
16645,26.07286850069636,-179.72586287776085,-23.06965346940762,2,Potentially fibroblasts (fibronectin)
16652,9.189245671912204,174.3949807946957,-23.822010789506876,9,Potentially fibroblasts (fibronectin)
16653,6.060332888160701,164.2433678914698,-21.417231816985968,2,Potentially fibroblasts (fibronectin)
16655,-1.63807010198542,169.73694587312127,-27.887907997753892,2,Potentially fibroblasts (fibronectin)
16657,-3.955669373643161,157.29832972353097,-22.014574197534458,9,Potentially fibroblasts (fibronectin)
16660,-17.46887172628982,123.32041707179769,-21.280498362219724,2,Potentially fibroblasts (fibronectin)
16661,-28.618613171993445,-149.25461868571136,-23.53883261241227,2,Potentially fibroblasts (fibronectin)
16663,-42.87489536334664,136.2340655658885,-22.99380373774393,2,Potentially fibroblasts (fibronectin)
16670,-62.23106922824144,146.31241551051744,-22.830459330213486,9,Potentially fibroblasts (fibronectin)
16673,-74.77759303776526,87.40336789146988,-23.318268854023003,11,Potentional fibroblasts (fibronectin)
16675,-75.28538470443192,74.60482622480322,-21.750102187356347,11,Potentional fibroblasts (fibronectin)
16677,-83.08068737738796,-168.24531135381318,-21.75992923138149,2,Potentially fibroblasts (fibronectin)
16680,-94.46229633446853,-120.60608265798072,-21.425697425451574,9,Potentially fibroblasts (fibronectin)
16682,-128.3109831086872,57.790885621966254,-21.875545449767685,11,Potentional fibroblasts (fibronectin)
16683,-133.92987875205097,-148.81377496567302,-19.48284028259443,11,Potentional fibroblasts (fibronectin)
16685,-136.79833640059707,82.75310240474414,-22.128605137208844,2,Potentially fibroblasts (fibronectin)
16688,-155.31583934318394,-13.458109941042494,-23.928160479638763,11,Potentional fibroblasts (fibronectin)
16690,-161.24756025087999,1.9761547767157026,-21.90344918189185,11,Potentional fibroblasts (fibronectin)
16721,355.2391688669967,-195.7047802566783,-24.833104832858986,4,Potentially fibroblasts (fibronectin)
16734,334.15258878041664,288.70851940662135,-24.642147641901786,2,Potentially fibroblasts (fibronectin)
16743,318.6344069622347,-286.3966321085301,-24.054268854023007,4,Potentially fibroblasts (fibronectin)
16765,270.0479486289014,-22.84829877519678,-30.31260218735634,2,Potentially fibroblasts (fibronectin)
